date,open_interest,ticker,expiration,type,strike
5/26/2016,1483,FB,6/17/2016,C,123
5/27/2016,3928,FB,6/17/2016,C,123
5/31/2016,3225,FB,6/17/2016,C,123
6/1/2016,3277,FB,6/17/2016,C,123
6/2/2016,4457,FB,6/17/2016,C,123
6/3/2016,4542,FB,6/17/2016,C,123
6/6/2016,4811,FB,6/17/2016,C,123
6/7/2016,4824,FB,6/17/2016,C,123
6/8/2016,4932,FB,6/17/2016,C,123
6/9/2016,4852,FB,6/17/2016,C,123
6/10/2016,4965,FB,6/17/2016,C,123
6/13/2016,4868,FB,6/17/2016,C,123
6/14/2016,4745,FB,6/17/2016,C,123
6/15/2016,4709,FB,6/17/2016,C,123
6/16/2016,4706,FB,6/17/2016,C,123
6/17/2016,4704,FB,6/17/2016,C,123
5/23/2016,2749,FB,6/17/2016,C,124
5/24/2016,5134,FB,6/17/2016,C,124
5/25/2016,6224,FB,6/17/2016,C,124
5/26/2016,6489,FB,6/17/2016,C,124
5/27/2016,6489,FB,6/17/2016,C,124
5/31/2016,6559,FB,6/17/2016,C,124
6/1/2016,6899,FB,6/17/2016,C,124
6/2/2016,7010,FB,6/17/2016,C,124
6/3/2016,7086,FB,6/17/2016,C,124
6/6/2016,7178,FB,6/17/2016,C,124
6/7/2016,7122,FB,6/17/2016,C,124
6/8/2016,7130,FB,6/17/2016,C,124
6/9/2016,7124,FB,6/17/2016,C,124
6/10/2016,6992,FB,6/17/2016,C,124
6/13/2016,6998,FB,6/17/2016,C,124
6/14/2016,6977,FB,6/17/2016,C,124
6/15/2016,6977,FB,6/17/2016,C,124
6/16/2016,6951,FB,6/17/2016,C,124
6/17/2016,6932,FB,6/17/2016,C,124
5/2/2016,23048,FB,6/17/2016,C,125
5/3/2016,23191,FB,6/17/2016,C,125
5/4/2016,23220,FB,6/17/2016,C,125
5/5/2016,23148,FB,6/17/2016,C,125
5/6/2016,24068,FB,6/17/2016,C,125
5/9/2016,40839,FB,6/17/2016,C,125
5/10/2016,45579,FB,6/17/2016,C,125
5/11/2016,46296,FB,6/17/2016,C,125
5/12/2016,47075,FB,6/17/2016,C,125
5/13/2016,47333,FB,6/17/2016,C,125
5/16/2016,47362,FB,6/17/2016,C,125
5/17/2016,47558,FB,6/17/2016,C,125
5/18/2016,48198,FB,6/17/2016,C,125
5/19/2016,48607,FB,6/17/2016,C,125
5/20/2016,48342,FB,6/17/2016,C,125
5/23/2016,47766,FB,6/17/2016,C,125
5/24/2016,46485,FB,6/17/2016,C,125
5/25/2016,45923,FB,6/17/2016,C,125
5/26/2016,47066,FB,6/17/2016,C,125
5/27/2016,46720,FB,6/17/2016,C,125
5/31/2016,47639,FB,6/17/2016,C,125
6/1/2016,47704,FB,6/17/2016,C,125
6/2/2016,47828,FB,6/17/2016,C,125
6/3/2016,47867,FB,6/17/2016,C,125
6/6/2016,47967,FB,6/17/2016,C,125
6/7/2016,46862,FB,6/17/2016,C,125
6/8/2016,46516,FB,6/17/2016,C,125
6/9/2016,46041,FB,6/17/2016,C,125
6/10/2016,45993,FB,6/17/2016,C,125
6/13/2016,46054,FB,6/17/2016,C,125
6/14/2016,45719,FB,6/17/2016,C,125
6/15/2016,45659,FB,6/17/2016,C,125
6/16/2016,45631,FB,6/17/2016,C,125
6/17/2016,44981,FB,6/17/2016,C,125
5/23/2016,63,FB,6/17/2016,C,126
5/24/2016,142,FB,6/17/2016,C,126
5/25/2016,225,FB,6/17/2016,C,126
5/26/2016,385,FB,6/17/2016,C,126
5/27/2016,420,FB,6/17/2016,C,126
5/31/2016,496,FB,6/17/2016,C,126
6/1/2016,557,FB,6/17/2016,C,126
6/2/2016,647,FB,6/17/2016,C,126
6/3/2016,651,FB,6/17/2016,C,126
6/6/2016,729,FB,6/17/2016,C,126
6/7/2016,861,FB,6/17/2016,C,126
6/8/2016,847,FB,6/17/2016,C,126
6/9/2016,972,FB,6/17/2016,C,126
6/10/2016,1390,FB,6/17/2016,C,126
6/13/2016,1381,FB,6/17/2016,C,126
6/14/2016,1381,FB,6/17/2016,C,126
6/15/2016,1381,FB,6/17/2016,C,126
6/16/2016,1381,FB,6/17/2016,C,126
6/17/2016,1381,FB,6/17/2016,C,126
5/23/2016,19,FB,6/17/2016,C,127
5/24/2016,207,FB,6/17/2016,C,127
5/25/2016,281,FB,6/17/2016,C,127
5/26/2016,361,FB,6/17/2016,C,127
5/27/2016,380,FB,6/17/2016,C,127
5/31/2016,380,FB,6/17/2016,C,127
6/1/2016,544,FB,6/17/2016,C,127
6/2/2016,614,FB,6/17/2016,C,127
6/3/2016,621,FB,6/17/2016,C,127
6/6/2016,942,FB,6/17/2016,C,127
6/7/2016,968,FB,6/17/2016,C,127
6/8/2016,888,FB,6/17/2016,C,127
6/9/2016,888,FB,6/17/2016,C,127
6/10/2016,888,FB,6/17/2016,C,127
6/13/2016,878,FB,6/17/2016,C,127
6/14/2016,878,FB,6/17/2016,C,127
6/15/2016,878,FB,6/17/2016,C,127
6/16/2016,878,FB,6/17/2016,C,127
6/17/2016,878,FB,6/17/2016,C,127
5/23/2016,33,FB,6/17/2016,C,128
5/24/2016,61,FB,6/17/2016,C,128
5/25/2016,76,FB,6/17/2016,C,128
5/26/2016,100,FB,6/17/2016,C,128
5/27/2016,131,FB,6/17/2016,C,128
5/31/2016,469,FB,6/17/2016,C,128
6/1/2016,466,FB,6/17/2016,C,128
6/2/2016,486,FB,6/17/2016,C,128
6/3/2016,544,FB,6/17/2016,C,128
6/6/2016,605,FB,6/17/2016,C,128
6/7/2016,624,FB,6/17/2016,C,128
6/8/2016,603,FB,6/17/2016,C,128
6/9/2016,603,FB,6/17/2016,C,128
6/10/2016,603,FB,6/17/2016,C,128
6/13/2016,599,FB,6/17/2016,C,128
6/14/2016,599,FB,6/17/2016,C,128
6/15/2016,599,FB,6/17/2016,C,128
6/16/2016,595,FB,6/17/2016,C,128
6/17/2016,594,FB,6/17/2016,C,128
5/24/2016,54,FB,6/17/2016,C,129
5/25/2016,167,FB,6/17/2016,C,129
5/26/2016,285,FB,6/17/2016,C,129
5/27/2016,285,FB,6/17/2016,C,129
5/31/2016,344,FB,6/17/2016,C,129
6/1/2016,344,FB,6/17/2016,C,129
6/2/2016,344,FB,6/17/2016,C,129
6/3/2016,317,FB,6/17/2016,C,129
6/6/2016,317,FB,6/17/2016,C,129
6/7/2016,317,FB,6/17/2016,C,129
6/8/2016,317,FB,6/17/2016,C,129
6/9/2016,317,FB,6/17/2016,C,129
6/10/2016,317,FB,6/17/2016,C,129
6/13/2016,297,FB,6/17/2016,C,129
6/14/2016,297,FB,6/17/2016,C,129
6/15/2016,297,FB,6/17/2016,C,129
6/16/2016,297,FB,6/17/2016,C,129
6/17/2016,297,FB,6/17/2016,C,129
5/2/2016,22198,FB,6/17/2016,C,130
5/3/2016,22120,FB,6/17/2016,C,130
5/4/2016,22074,FB,6/17/2016,C,130
5/5/2016,22133,FB,6/17/2016,C,130
5/6/2016,22639,FB,6/17/2016,C,130
5/9/2016,30462,FB,6/17/2016,C,130
5/10/2016,30466,FB,6/17/2016,C,130
5/11/2016,31385,FB,6/17/2016,C,130
5/12/2016,31766,FB,6/17/2016,C,130
5/13/2016,31673,FB,6/17/2016,C,130
5/16/2016,30570,FB,6/17/2016,C,130
5/17/2016,29182,FB,6/17/2016,C,130
5/18/2016,29164,FB,6/17/2016,C,130
5/19/2016,29103,FB,6/17/2016,C,130
5/20/2016,29113,FB,6/17/2016,C,130
5/23/2016,29088,FB,6/17/2016,C,130
5/24/2016,28989,FB,6/17/2016,C,130
5/25/2016,28964,FB,6/17/2016,C,130
5/26/2016,28723,FB,6/17/2016,C,130
5/27/2016,28729,FB,6/17/2016,C,130
5/31/2016,28358,FB,6/17/2016,C,130
6/1/2016,28258,FB,6/17/2016,C,130
6/2/2016,28175,FB,6/17/2016,C,130
6/3/2016,27964,FB,6/17/2016,C,130
6/6/2016,27731,FB,6/17/2016,C,130
6/7/2016,27766,FB,6/17/2016,C,130
6/8/2016,27817,FB,6/17/2016,C,130
6/9/2016,27687,FB,6/17/2016,C,130
6/10/2016,27672,FB,6/17/2016,C,130
6/13/2016,27643,FB,6/17/2016,C,130
6/14/2016,27643,FB,6/17/2016,C,130
6/15/2016,27642,FB,6/17/2016,C,130
6/16/2016,27642,FB,6/17/2016,C,130
6/17/2016,27448,FB,6/17/2016,C,130
5/23/2016,125,FB,6/17/2016,C,131
5/24/2016,176,FB,6/17/2016,C,131
5/25/2016,185,FB,6/17/2016,C,131
5/26/2016,516,FB,6/17/2016,C,131
5/27/2016,667,FB,6/17/2016,C,131
5/31/2016,639,FB,6/17/2016,C,131
6/1/2016,639,FB,6/17/2016,C,131
6/2/2016,639,FB,6/17/2016,C,131
6/3/2016,639,FB,6/17/2016,C,131
6/6/2016,639,FB,6/17/2016,C,131
6/7/2016,639,FB,6/17/2016,C,131
6/8/2016,639,FB,6/17/2016,C,131
6/9/2016,639,FB,6/17/2016,C,131
6/10/2016,639,FB,6/17/2016,C,131
6/13/2016,639,FB,6/17/2016,C,131
6/14/2016,639,FB,6/17/2016,C,131
6/15/2016,639,FB,6/17/2016,C,131
6/16/2016,639,FB,6/17/2016,C,131
6/17/2016,639,FB,6/17/2016,C,131
